razao_social_osc,nome_fantasia_osc,natureza_juridica,ano_inicio,classe_atividade_economica,subclasse_atividade_economica,bairro,area_atuacao,subarea_atuacao
ASSOCIACAO DOS MORADORES DA CANELEIRA III,NÃO INFORMADO,Associação Privada,1995,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,caneleira,desenvolvimento e defesa de direitos,outros
INSTITUTO RL DE ESPORTES CULTURA E DANCA,NÃO INFORMADO,Associação Privada,1995,NÃO INFORMADO,NÃO INFORMADO,macuco,desenvolvimento e defesa de direitos,outros
ASSEPLAN - ASSOCIACAO DE USUARIOS EM PLANOS DE SAUDE DA BAIXADA SANTISTA,ASSEPLAN,Associação Privada,1997,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,embare,desenvolvimento e defesa de direitos,outros
SOCIEDADE FILANTROPICA BARAO TSCHOUDY,NÃO INFORMADO,Fundação Privada,1998,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,macuco,desenvolvimento e defesa de direitos,outros
GRUPO POETAS DO ESPACO CULTURAL,G.P.E.C.,Associação Privada,1997,NÃO INFORMADO,NÃO INFORMADO,aparecida,saúde,outros serviços de saúde
ASSOCIACAO BENEFICENTE E CULTURAL DOS PETROLEIROS,NÃO INFORMADO,Associação Privada,1997,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,vila nova,desenvolvimento e defesa de direitos,outros
IGREJA MUNDIAL DO PODER DE DEUS,NÃO INFORMADO,Organização Religiosa,2010,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,ponta da praia,religião,religião
IGREJA MUNDIAL DO PODER DE DEUS,NÃO INFORMADO,Organização Religiosa,2012,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,gonzaga,religião,religião
IGREJA MUNDIAL DO PODER DE DEUS,NÃO INFORMADO,Organização Religiosa,2014,NÃO INFORMADO,NÃO INFORMADO,marape,religião,religião
IGREJA MUNDIAL DO PODER DE DEUS,NÃO INFORMADO,Organização Religiosa,2009,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,paqueta,religião,religião
