tx_razao_social_osc,tx_nome_fantasia_osc,tx_nome_natureza_juridica,ano_inicio,tx_nome_classe_atividade_economica,tx_nome_subclasse_atividade_economica,tx_bairro,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
ASSOCIACAO DE AMIGOS DA CORPORACAO MUSICAL E COREOGRAFICA DE SANTOS,,Associação Privada,2011.0,,,JD BOM RETIRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSEMBLEIA DE DEUS MINISTERIO VISAO DO CEU,ASSEMBLEIA VISAO DO CEU,Organização Religiosa,2013.0,,,MORRO DA PENHA,Religião,Religião
C.M.S  CONFRARIA  MACONICA  SANTISTA,C.M.S,Associação Privada,2013.0,,,BOQUEIRAO,Religião,Religião
SANTOS FUTEBOL CLUBE,CENTRO DE TREINAMENTO REI PELE,Associação Privada,2013.0,,,JABAQUARA,Cultura e recreação,Esporte e recreação
ASSOCIACAO DE MORADORES DAS CASAS POPULARES DO BAIRRO ESTUARIO,AMOCAPE,Associação Privada,2013.0,,,ESTUARIO,Desenvolvimento e defesa de direitos,Outros
DIRETORIO ACADEMICO DE MEDICINA VETERINARIA IX DE SETEMBRO,,Associação Privada,2014.0,,,MORRO DE NOVA CINTRA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO LEDA MASCARENHAS DE QUEIROZ,LEDA,Associação Privada,2014.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ORGANIZACAO SOCIAL BENEFICENTE CRISTA DE ASSISTENCIA SOCIAL A SAUDE E EDUCACAO - ORGANIZACAO MAOS AMIGAS,A ORGANIZACAO MAOS AMIGAS,Organização Social,2010.0,,,BOQUEIRAO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO PROJETO MUSICA TRANSFORMANDO VIDAS - PROMUVI,PROMUVI,Associação Privada,2015.0,,,VILA MATHIAS,Cultura e recreação,Cultura e arte
ASSOCIACAO SOCIO EDUCATIVA DE ESPORTE E LAZER - ASEEL,ASEEL,Associação Privada,2015.0,,,MORRO SAO BENTO,Desenvolvimento e defesa de direitos,Outros
MINISTERIO EVANGELICO DEUS E FIEL,MINISTERIO EVANGELICO DEUS E FIEL,Organização Religiosa,2015.0,,,CHICO DE PAULA,Religião,Religião
TEMPLO DE UMBANDA MENSAGEIROS DA LUZ DIVINA,TEMPLO DE UMBANDA MENSAGEIROS DA LUZ DIVINA,Organização Religiosa,2015.0,,,VILA NOVA,Religião,Religião
GREMIO AMIGOS VOLEI DA APARECIDA,,Associação Privada,2016.0,,,PONTA DA PRAIA,Cultura e recreação,Esporte e recreação
ASSOCIACAO DE AMOR A CRIANCA ARCANJO RAFAEL,,Associação Privada,2016.0,,,CHICO DE PAULA,Assistência social,Assistência social
CEAVI CENTRO EVANGELICO DE APOIO A VIDA,,Associação Privada,1995.0,,,BOM RETIRO,Religião,Religião
ASSOCIACAO DE ESPORTES COLIGACAO SAUDE AECS,COLIGACAO SAUDE,Associação Privada,1996.0,,,EMBARE,Desenvolvimento e defesa de direitos,Outros
"NATIVA-ASSOCIACAO COMUNITARIA, CULTURAL E ARTISTICA DA ZONA NOROESTE",,Associação Privada,1998.0,,,JARDIM CASTELO,Desenvolvimento e defesa de direitos,Outros
UNIAO DOS TRIATLETAS E CORREDORES DA BAIXADA,,Associação Privada,1996.0,,,CASTELO,Desenvolvimento e defesa de direitos,Outros
GRUHBAS PROJETOS EDUCACIONAIS E CULTURAIS,GRUHBAS - PROJETOS EDUCACIONAIS,Associação Privada,1998.0,,,APARECIDA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO COMUNITARIA RADIO TOTAL FM,RADIO TOTAL FM,Associação Privada,1997.0,,,ESTUARIO,Outras atividades associativas; Outros,Associações de atividades não especificadas anteriormente
ASTAIPE - ASSOCIACAO DOS TRABALHADORES APOSENTADOS E PENSIONISTAS DO SISTEMA PETROBRAS,ASTAIPE,Associação Privada,1991.0,,,MACUCO,Desenvolvimento e defesa de direitos,Outros
IGREJA EVANGELICA PENTECOSTAL CONSELHEIRO DA PAZ,CONSELHEIRO DA PAZ,Associação Privada,1992.0,,,VILA SAO JORGE,Religião,Religião
GRUPO FAMILIA TEATRAL,,Associação Privada,1990.0,,,JD CASTELO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO BRASILEIRA DE FORNECEDORES A NAVIOS,A.B.F.N.,Associação Privada,1979.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,ESTUARIO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO BENEFICIENTE DOS ALFAIATES DE SANTOS,,Associação Privada,1982.0,,,MACUCO,Assistência social,Assistência social
GREMIO DOS RESERV DA AERONAUTICA DA BAIXADA SANTISTA,,Associação Privada,1983.0,,,EMBARE,Cultura e recreação,Esporte e recreação
GREMIO DOS APOSENTADOS DA PETROBRAS,,Associação Privada,1994.0,,,PONTA DA PRAIA,Cultura e recreação,Esporte e recreação
GREMIO RECREATIVO E ESCOLA DE SAMBA UNIAO IMPERIAL,ESCOLA DE SAMBA UNIAO IMPERIAL,Associação Privada,1976.0,,,MARAPE,Cultura e recreação,Esporte e recreação
POMPEIA PRAIA CLUBE,,Associação Privada,1977.0,,,MARAPE,Cultura e recreação,Esporte e recreação
ASSOCIACAO DOS FARMACEUTICOS DA BAIXADA SANTISTA,,Associação Privada,1978.0,,,BOQUEIRAO,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
ASSOCIACAO DESPORTIVA CLASSISTA UNION CARBIDE,,Associação Privada,1993.0,,,GONZAGA,Cultura e recreação,Esporte e recreação
G.RECREATIVO ACADEMIA DE SAMBA UNIDOS DA ZONA NOROESTE,,Associação Privada,1980.0,,,AREIA BRANCA,Cultura e recreação,Esporte e recreação
SOCIEDADE UNIVERSITARIA DE SANTOS,SUSAN CAMPUS BANDEIRANTE I,Associação Privada,1987.0,,,VILA MATIAS,Educação e pesquisa; Outras atividades associativas,Associações de atividades não especificadas anteriormente
GREMIO RECREATIVO ESCOLA DE SAMBA X 9,,Associação Privada,1981.0,,,ESTUARIO,Cultura e recreação,Esporte e recreação
GREMIO RECREATIVO E ESPORTIVO GRANEL QUIMICA,,Associação Privada,1982.0,,,CENTRO,Cultura e recreação,Esporte e recreação
AUGUSTA LOJA DE PERFEICAO ANDRADAS,,Associação Privada,1983.0,,,VILA NOVA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DESPORTIVA CLASSISTA AFONSO,,Associação Privada,1984.0,,,VILA MATHIAS,Cultura e recreação,Esporte e recreação
SOCIEDADE DE CAES PASTORES ALEMAES DA BAIXADA SANTISTA,,Associação Privada,1985.0,,,BOQUEIRAO,Cultura e recreação,Esporte e recreação
TOURING CLUB DO BRASIL,,Associação Privada,1972.0,,,CENTRO,Desenvolvimento e defesa de direitos,Outros
CENTRO BENEFICENTE DOS MOTORISTAS DE SAO PAULO,,Associação Privada,1999.0,,,CENTRO,Saúde,Outros serviços de saúde
OIKOS MUNDI A ORGANIZACAO CIDADA,OIKOS MUNDI A ORGANIZACAO CIDADA,Associação Privada,1999.0,,,APARECIDA,Desenvolvimento e defesa de direitos,Outros
