razao_social_osc, nome_fantasia_osc, natureza_juridica, ano_inicio, classe_atividade_economica, subclasse_atividade_economica, bairro, area_atuacao, subarea_atuacao
ASSOCIACAO DOS ASSESSORES E CERIMONIALISTAS DO ESTADO DE SAO PAULO,ACERESP,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,GONZAGA,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
ASSOCIACAO CULTURAL VIVA VIDA,NÃO INFORMADO,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,VILA MATHIAS,Cultura e recreação,Cultura e arte
CENTRO COMUNITARIO DO EMBARE,NÃO INFORMADO,Associação Privada,2016.0,NÃO INFORMADO,NÃO INFORMADO,EMBARE,Desenvolvimento e defesa de direitos,Outros
"ASSOCIACAO DOS PROFISSIONAIS DA AREA DE SEGURANCA, VIGILANCIA E SIMILARES DO LITORAL DE SAO PAULO",APASVSL-SP,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,SABOO,Desenvolvimento e defesa de direitos,Outros
LOJA MACONICA ALIANCA FRATERNAL N 3779,ARLS ALIANCA FRATERNAL N 3779,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,EMBARE,Religião,Religião
BRASIL SOLIDARIO SOCIAL,BSS,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,VILA BELMIRO,Cultura e recreação,Cultura e arte
SENADOR CESAR LACERDA DE VERGUEIRO ASSOCIACAO,NÃO INFORMADO,Associação Privada,2018.0,NÃO INFORMADO,NÃO INFORMADO,PONTA DA PRAIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
CORONEL MONTENEGRO ASSOCIACAO,NÃO INFORMADO,Associação Privada,2018.0,NÃO INFORMADO,NÃO INFORMADO,PONTA DA PRAIA,Cultura e recreação,Esporte e recreação
ASSOCIACAO DAS MULHERES PARA O DESENVOLVIMENTO COMUNITARIO DA AREA CONTINENTAL DE SANTOS,MUDECOM,Associação Privada,2017.0,NÃO INFORMADO,NÃO INFORMADO,CARUARA,Desenvolvimento e defesa de direitos,Outros
INSTITUTO GUERREIROS DO AMANHA (IGA),IGA,Associação Privada,2018.0,NÃO INFORMADO,NÃO INFORMADO,VILA BELMIRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DO LITORAL SANTISTA DE AMIGOS E PORTADORES  DE ESCLEROSE MULTIPLA - ALSAPEM,ALSAPEM,Associação Privada,2018.0,NÃO INFORMADO,NÃO INFORMADO,CASTELO,Assistência social,Assistência social
"INSTITUTO  BASQUETE, ESPORTES E EDUCACAO",INSTITUTO BASE,Associação Privada,2018.0,NÃO INFORMADO,NÃO INFORMADO,CASTELO,Cultura e recreação,Esporte e recreação
PRECEPTORIA DE CAVALEIROS TEMPLARIOS PEREGRINOS N 10,PRECEPTORIA,Associação Privada,2018.0,NÃO INFORMADO,NÃO INFORMADO,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO CULTURAL PORTO CIRCENSE,PORTO CIRCENSE,Associação Privada,2018.0,NÃO INFORMADO,NÃO INFORMADO,APARECIDA,Saúde,Outros serviços de saúde
IGREJA PROFETICA MISSOES DE AVIVAMENTO,NÃO INFORMADO,Organização Religiosa,2018.0,NÃO INFORMADO,NÃO INFORMADO,CENTRO,Religião,Religião
SOBERANA ORDEM SACERDOTAL DE HARMONIZACAO PSICOENERGETICA,SOSHP,Organização Religiosa,2018.0,NÃO INFORMADO,NÃO INFORMADO,BOQUEIRAO,Religião,Religião
ALPI - ASSOCIACAO DOS LOJISTAS DO SHOPPING PATIO IPORANGA,NÃO INFORMADO,Associação Privada,2018.0,NÃO INFORMADO,NÃO INFORMADO,GONZAGA,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
SOCIEDADE DE MELHORAMENTOS DO BAIRRO SANTA MARIA,SMMSM,Associação Privada,2013.0,NÃO INFORMADO,NÃO INFORMADO,MORRO SANTA MARIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
